Postcode,In Use?,Latitude,Population,Longitude,Postcode district,Postcode area,Average Income,LSOA code,County
AL3 5AH,Yes,51.765551,4,-0.335111,AL3,AL,59100,E01023713,Hertfordshire
AL3 5FD,Yes,51.762487,,-0.339301,AL3,AL,57700,E01023670,Hertfordshire
AL3 5FE,Yes,51.762599,,-0.345992,AL3,AL,57700,E01023672,Hertfordshire
AL3 5JG,Yes,51.756927,36,-0.349787,AL3,AL,57700,E01023669,Hertfordshire
AL3 6AS,Yes,51.772194,14,-0.340099,AL3,AL,57700,E01023671,Hertfordshire
AL3 6JB,Yes,51.781661,18,-0.315295,AL3,AL,59100,E01023736,Hertfordshire
AL3 6JL,Yes,51.790621,3,-0.343633,AL3,AL,59700,E01023749,Hertfordshire
AL3 6JN,Yes,51.792405,2,-0.347535,AL3,AL,72800,E01023696,Hertfordshire
AL3 7AW,Yes,51.788145,12,-0.438577,AL3,AL,55900,E01023431,Hertfordshire
AL3 7BD,Yes,51.800333,32,-0.396837,AL3,AL,57400,E01023724,Hertfordshire
AL3 7BE,Yes,51.801635,14,-0.397902,AL3,AL,57400,E01023725,Hertfordshire
AL3 7BY,Yes,51.798095,6,-0.400696,AL3,AL,57400,E01023723,Hertfordshire
AL3 8AA,Yes,51.830797,4,-0.469654,AL3,AL,55900,E01023432,Hertfordshire
AL3 8AS,Yes,51.819288,8,-0.468245,AL3,AL,55900,E01023430,Hertfordshire
AL3 8HR,Yes,51.837061,26,-0.463151,AL3,AL,55900,E01023433,Hertfordshire
AL3 8QE,Yes,51.847932,18,-0.447392,AL3,AL,50800,E01017561,Bedfordshire
AL4 0AG,Yes,51.747532,45,-0.295038,AL4,AL,59000,E01023677,Hertfordshire
AL4 0BB,Yes,51.75809,,-0.297211,AL4,AL,60400,E01023712,Hertfordshire
AL4 0BX,Yes,51.759704,66,-0.30481,AL4,AL,72900,E01023668,Hertfordshire
AL4 0DH,Yes,51.752492,152,-0.302878,AL4,AL,72900,E01023664,Hertfordshire
AL4 0FH,Yes,51.747411,14,-0.26045,AL4,AL,59000,E01023680,Hertfordshire
AL4 0FS,Yes,51.737347,,-0.249604,AL4,AL,59000,E01023679,Hertfordshire
AL4 8AA,Yes,51.812919,14,-0.293737,AL4,AL,59700,E01023747,Hertfordshire
AL4 8AD,Yes,51.812095,23,-0.296375,AL4,AL,59700,E01023748,Hertfordshire
AL4 8AS,Yes,51.810607,59,-0.290604,AL4,AL,59700,E01023746,Hertfordshire
AL4 8HE,Yes,51.835868,25,-0.30377,AL4,AL,55300,E01023626,Hertfordshire
AL4 9AH,Yes,51.770293,106,-0.296456,AL4,AL,59100,E01023734,Hertfordshire
AL4 9AJ,Yes,51.768366,91,-0.294384,AL4,AL,59100,E01023735,Hertfordshire
AL4 9AL,Yes,51.767837,60,-0.313853,AL4,AL,60400,E01023709,Hertfordshire
AL4 9FJ,Yes,51.770888,,-0.304623,AL4,AL,60400,E01023711,Hertfordshire
AL4 9NS,Yes,51.770075,18,-0.311871,AL4,AL,60400,E01023710,Hertfordshire
AL5 1AS,Yes,51.804387,3,-0.344066,AL5,AL,72800,E01023697,Hertfordshire
AL5 1AU,Yes,51.812299,52,-0.33571,AL5,AL,63900,E01023686,Hertfordshire
AL5 1BX,Yes,51.798971,13,-0.342567,AL5,AL,72800,E01023698,Hertfordshire
AL5 1DT,Yes,51.808667,,-0.351863,AL5,AL,72500,E01023701,Hertfordshire
AL5 1DW,Yes,51.806661,5,-0.345912,AL5,AL,72500,E01023703,Hertfordshire
AL5 1ET,Yes,51.806415,6,-0.337377,AL5,AL,72800,E01023695,Hertfordshire
AL5 2DA,Yes,51.812998,7,-0.370226,AL5,AL,72500,E01023700,Hertfordshire
AL5 2EN,Yes,51.820745,58,-0.362822,AL5,AL,72500,E01023699,Hertfordshire
AL5 3AB,Yes,51.820661,67,-0.371023,AL5,AL,69200,E01023690,Hertfordshire
AL5 3AF,Yes,51.823345,63,-0.373262,AL5,AL,69200,E01023691,Hertfordshire
AL5 3DR,Yes,51.831056,,-0.386017,AL5,AL,69200,E01023694,Hertfordshire
AL5 3NG,Yes,51.832128,,-0.383008,AL5,AL,50800,E01017564,Bedfordshire
AL5 4BS,Yes,51.824919,73,-0.363614,AL5,AL,69200,E01023692,Hertfordshire
AL5 4DN,Yes,51.828047,8,-0.348045,AL5,AL,69200,E01023693,Hertfordshire
AL5 4EY,Yes,51.822391,12,-0.354491,AL5,AL,63900,E01023689,Hertfordshire
AL5 4FE,Yes,51.823091,78,-0.34041,AL5,AL,63900,E01023685,Hertfordshire
AL5 4FN,Yes,51.821826,,-0.341908,AL5,AL,63900,E01023688,Hertfordshire
AL5 4XA,Yes,51.816912,9,-0.349729,AL5,AL,72500,E01023702,Hertfordshire
AL5 5AR,Yes,51.824807,84,-0.338282,AL5,AL,63900,E01023687,Hertfordshire
AL6 0AA,Yes,51.81548,13,-0.179007,AL6,AL,57200,E01023486,Hertfordshire
AL6 0AD,Yes,51.819917,9,-0.191035,AL6,AL,68300,E01023971,Hertfordshire
AL6 0BJ,Yes,51.828312,,-0.206542,AL6,AL,59900,E01023968,Hertfordshire
AL6 0BN,Yes,51.855274,24,-0.194555,AL6,AL,68300,E01023965,Hertfordshire
AL6 0BS,Yes,51.823136,,-0.205722,AL6,AL,58100,E01023962,Hertfordshire
AL6 0EF,Yes,51.843408,10,-0.203044,AL6,AL,68300,E01023966,Hertfordshire
AL6 0FL,Yes,51.833602,,-0.168338,AL6,AL,55500,E01023467,Hertfordshire
AL6 0HB,Yes,51.840523,6,-0.171585,AL6,AL,68300,E01023967,Hertfordshire
AL6 0HF,Yes,51.831792,19,-0.164605,AL6,AL,57200,E01023485,Hertfordshire
AL6 0JE,Yes,51.803057,13,-0.155187,AL6,AL,51700,E01023950,Hertfordshire
AL6 0PG,Yes,51.843762,29,-0.200329,AL6,AL,55300,E01023627,Hertfordshire
AL6 0WG,Yes,51.804482,,-0.195898,AL6,AL,46200,E01023954,Hertfordshire
AL6 9AA,Yes,51.810029,1,-0.228496,AL6,AL,59900,E01023969,Hertfordshire
AL6 9AF,Yes,51.820171,14,-0.226603,AL6,AL,59900,E01023970,Hertfordshire
AL6 9AH,Yes,51.81486,2,-0.223867,AL6,AL,58100,E01023959,Hertfordshire
AL6 9AJ,Yes,51.812656,3,-0.226037,AL6,AL,56800,E01023919,Hertfordshire
AL6 9BS,Yes,51.843475,6,-0.266815,AL6,AL,55300,E01023595,Hertfordshire
AL7 1AD,Yes,51.803222,,-0.191133,AL7,AL,50600,E01023912,Hertfordshire
AL7 1BX,Yes,51.816006,81,-0.190404,AL7,AL,50600,E01023915,Hertfordshire
AL7 1DD,Yes,51.812404,3,-0.190147,AL7,AL,50600,E01023914,Hertfordshire
AL7 1FF,Yes,51.796505,31,-0.177726,AL7,AL,53000,E01023944,Hertfordshire
AL7 1GD,Yes,51.798784,,-0.189672,AL7,AL,46200,E01023958,Hertfordshire
AL7 1HN,Yes,51.792831,123,-0.17289,AL7,AL,53000,E01023943,Hertfordshire
AL7 1RB,Yes,51.80465,19,-0.18068,AL7,AL,50600,E01023913,Hertfordshire
AL7 1TP,Yes,51.799432,37,-0.178149,AL7,AL,51700,E01023951,Hertfordshire
AL7 2AZ,Yes,51.798885,17,-0.173051,AL7,AL,51700,E01023952,Hertfordshire
AL7 2HF,Yes,51.796996,118,-0.168817,AL7,AL,51700,E01023953,Hertfordshire
AL7 3AF,Yes,51.796292,59,-0.200261,AL7,AL,46200,E01023956,Hertfordshire
AL7 3BX,Yes,51.791749,79,-0.191795,AL7,AL,46200,E01023957,Hertfordshire
AL7 3HR,Yes,51.791131,94,-0.179281,AL7,AL,53000,E01023945,Hertfordshire
AL7 3HU,Yes,51.791651,,-0.189479,AL7,AL,46200,E01023955,Hertfordshire
AL7 3JA,Yes,51.791119,7,-0.190588,AL7,AL,51200,E01023939,Hertfordshire
AL7 3PW,Yes,51.790722,34,-0.196495,AL7,AL,51200,E01023940,Hertfordshire
AL7 4AX,Yes,51.786048,,-0.19484,AL7,AL,51200,E01023942,Hertfordshire
AL7 4BB,Yes,51.789074,28,-0.183438,AL7,AL,53000,E01023946,Hertfordshire
AL7 4DF,Yes,51.784001,81,-0.203095,AL7,AL,51200,E01023941,Hertfordshire
AL7 4HJ,Yes,51.781004,,-0.189441,AL7,AL,53500,E01023925,Hertfordshire
AL7 9SA,Yes,51.804196,,-0.205381,AL7,AL,56800,E01023918,Hertfordshire
AL8 6DB,Yes,51.79288,37,-0.208687,AL8,AL,56800,E01023917,Hertfordshire
AL8 6DF,Yes,51.788979,,-0.224318,AL8,AL,56800,E01023916,Hertfordshire
AL8 7AA,Yes,51.812629,20,-0.200757,AL8,AL,58100,E01023961,Hertfordshire
AL8 7AF,Yes,51.8158,16,-0.199949,AL8,AL,58100,E01023960,Hertfordshire
AL9 5SB,Yes,51.741302,2,-0.210734,AL9,AL,60700,E01023910,Hertfordshire
AL9 6LB,Yes,51.716114,74,-0.177346,AL9,AL,60700,E01023909,Hertfordshire
AL9 6NA,Yes,51.732012,4,-0.185173,AL9,AL,60700,E01023908,Hertfordshire
AL9 7EU,Yes,51.72117,,-0.203175,AL9,AL,60700,E01023911,Hertfordshire
BR1 1AA,Yes,51.401546,,0.015415,BR1,BR,69600,E01000675,Greater London
BR1 1AB,Yes,51.406333,,0.015208,BR1,BR,60000,E01000676,Greater London
BR1 1AE,Yes,51.404543,34,0.014195,BR1,BR,69600,E01000677,Greater London
BR1 1BW,Yes,51.398997,,0.016165,BR1,BR,69600,E01000670,Greater London
BR1 1DE,Yes,51.408562,,0.01059,BR1,BR,60000,E01000674,Greater London
BR1 2AA,Yes,51.403386,64,0.043619,BR1,BR,72400,E01000645,Greater London
BR1 2AB,Yes,51.40175,38,0.054401,BR1,BR,72400,E01000649,Greater London
BR1 2BG,Yes,51.391712,55,0.045786,BR1,BR,65100,E01000652,Greater London
BR1 2BL,Yes,51.399162,51,0.038327,BR1,BR,68300,E01000648,Greater London
BR1 2BU,Yes,51.399358,27,0.043094,BR1,BR,66100,E01000651,Greater London
BR1 2EA,Yes,51.398205,47,0.046263,BR1,BR,65100,E01000650,Greater London
BR1 2GN,Yes,51.409519,,0.034355,BR1,BR,68300,E01000653,Greater London
BR1 2NG,Yes,51.406001,52,0.03702,BR1,BR,68300,E01000646,Greater London
BR1 2QX,Yes,51.399386,6,0.033175,BR1,BR,66100,E01000679,Greater London
BR1 2RJ,Yes,51.404386,78,0.035266,BR1,BR,68300,E01000647,Greater London
BR1 3AA,Yes,51.406882,82,0.020438,BR1,BR,60000,E01000825,Greater London
BR1 3DG,Yes,51.40137,64,0.024062,BR1,BR,68300,E01000678,Greater London
BR1 3EH,Yes,51.41305,22,0.0236,BR1,BR,60000,E01000823,Greater London
BR1 3FH,Yes,51.411327,,0.027565,BR1,BR,60000,E01000820,Greater London
BR1 3FJ,Yes,51.41847,,0.035691,BR1,BR,51000,E01000818,Greater London
BR1 3LN,Yes,51.410506,61,0.017276,BR1,BR,60000,E01000824,Greater London
BR1 3QE,Yes,51.413168,101,0.012573,BR1,BR,60000,E01000822,Greater London
BR1 3SJ,Yes,51.414221,179,0.003619,BR1,BR,67000,E01000672,Greater London
BR1 4AZ,Yes,51.409636,12,0.005127,BR1,BR,67000,E01000673,Greater London
BR1 4BY,Yes,51.417289,111,-0.001741,BR1,BR,45300,E01003235,Greater London
BR1 4DA,Yes,51.418976,60,0.018396,BR1,BR,51000,E01000819,Greater London
BR1 4DX,Yes,51.417553,23,0.015385,BR1,BR,51000,E01032563,Greater London
BR1 4ET,Yes,51.419919,42,0.008528,BR1,BR,51000,E01032562,Greater London
BR1 4EY,Yes,51.418477,48,0.005042,BR1,BR,45300,E01032565,Greater London
BR1 4JZ,Yes,51.422371,75,-0.004468,BR1,BR,45300,E01003243,Greater London
BR1 4LH,Yes,51.42364,81,-0.011921,BR1,BR,45300,E01003241,Greater London
BR1 4NE,Yes,51.422748,81,0.001403,BR1,BR,45300,E01003240,Greater London
BR1 4QB,Yes,51.424765,86,0.003907,BR1,BR,43600,E01032564,Greater London
BR1 4RX,Yes,51.424947,86,0.014747,BR1,BR,51000,E01000816,Greater London
BR1 4SG,Yes,51.423965,26,0.011741,BR1,BR,43600,E01003237,Greater London
BR1 5DS,Yes,51.429097,95,0.019734,BR1,BR,43600,E01003236,Greater London
BR1 5ES,Yes,51.428703,87,0.005533,BR1,BR,43600,E01003239,Greater London
BR1 5EU,Yes,51.431459,88,0.005236,BR1,BR,48500,E01003351,Greater London
BR1 5EY,Yes,51.430979,86,0.004409,BR1,BR,48500,E01003346,Greater London
BR1 5FD,Yes,51.430134,,-0.006175,BR1,BR,48000,E01003348,Greater London
BR1 5GN,Yes,51.42715,11,-0.009424,BR1,BR,48000,E01003353,Greater London
BR1 5JG,Yes,51.431247,114,0.013959,BR1,BR,48500,E01003349,Greater London
BR1 5JH,Yes,51.430187,50,0.013337,BR1,BR,43600,E01003238,Greater London
BR1 5SQ,Yes,51.43158,115,-0.000787,BR1,BR,48000,E01003350,Greater London
BR2 0AA,Yes,51.407775,32,-0.003321,BR2,BR,68600,E01000713,Greater London
BR2 0AB,Yes,51.40701,46,-0.004864,BR2,BR,67000,E01000717,Greater London
BR2 0AF,Yes,51.400157,22,-0.003264,BR2,BR,66700,E01000830,Greater London
BR2 0AP,Yes,51.404087,10,0.000933,BR2,BR,67000,E01000828,Greater London
BR2 0AS,Yes,51.396361,19,-8.30E-05,BR2,BR,66700,E01000831,Greater London
BR2 0EH,Yes,51.39712,53,0.008119,BR2,BR,66700,E01000827,Greater London
BR2 0LH,Yes,51.40586,50,-0.006009,BR2,BR,67000,E01000716,Greater London
BR2 0NS,Yes,51.39674,46,-0.003298,BR2,BR,66700,E01000826,Greater London
BR2 0PS,Yes,51.396392,59,0.009697,BR2,BR,69600,E01000829,Greater London
BR2 6AA,Yes,51.347723,8,0.043539,BR2,BR,50800,E01000747,Greater London
BR2 6AE,Yes,51.35045,3,0.034039,BR2,BR,61600,E01000666,Greater London
BR2 6AJ,Yes,51.363159,20,0.024043,BR2,BR,65000,E01000759,Greater London
BR2 6DX,Yes,51.366308,35,0.046234,BR2,BR,61600,E01000667,Greater London
BR2 7AA,Yes,51.371662,2,0.024792,BR2,BR,65000,E01000765,Greater London
BR2 7AG,Yes,51.37167,41,0.005539,BR2,BR,65000,E01000768,Greater London
BR2 7AY,Yes,51.381116,,0.005837,BR2,BR,69600,E01000766,Greater London
BR2 7BF,Yes,51.383434,,0.011745,BR2,BR,69600,E01000764,Greater London
BR2 7DG,Yes,51.376487,50,0.013035,BR2,BR,69600,E01000767,Greater London
BR2 7LA,Yes,51.381802,73,0.017206,BR2,BR,69600,E01000763,Greater London
BR2 8AA,Yes,51.389873,90,0.056786,BR2,BR,52500,E01000662,Greater London
BR2 8AE,Yes,51.388802,76,0.053749,BR2,BR,52500,E01000664,Greater London
BR2 8AL,Yes,51.389815,46,0.045227,BR2,BR,52500,E01000661,Greater London
BR2 8BF,Yes,51.377713,45,0.044056,BR2,BR,61600,E01000665,Greater London
BR2 8BH,Yes,51.388664,106,0.062151,BR2,BR,52500,E01000663,Greater London
BR2 9AZ,Yes,51.391724,27,0.01287,BR2,BR,69600,E01000762,Greater London
BR2 9EA,Yes,51.394059,44,0.024039,BR2,BR,66100,E01000671,Greater London
BR2 9FW,Yes,51.388088,,0.036986,BR2,BR,66100,E01000668,Greater London
BR2 9PG,Yes,51.389519,87,0.037424,BR2,BR,66100,E01000669,Greater London
BR3 1AB,Yes,51.406652,,-0.032098,BR3,BR,63800,E01000714,Greater London
BR3 1AF,Yes,51.406312,20,-0.028489,BR3,BR,68600,E01000770,Greater London
BR3 1AU,Yes,51.414778,18,-0.034079,BR3,BR,63800,E01000711,Greater London
BR3 1BF,Yes,51.418709,17,-0.025583,BR3,BR,63800,E01000718,Greater London
BR3 1BW,Yes,51.422417,,-0.037505,BR3,BR,62700,E01000804,Greater London
BR3 1BY,Yes,51.41853,,-0.034191,BR3,BR,63800,E01000710,Greater London
BR3 1BZ,Yes,51.413076,,-0.038754,BR3,BR,67600,E01000797,Greater London
BR3 1ES,Yes,51.411208,10,-0.030321,BR3,BR,63800,E01000709,Greater London
BR3 1JA,Yes,51.407868,17,-0.032262,BR3,BR,67600,E01000703,Greater London
BR3 1JG,Yes,51.41374,32,-0.046707,BR3,BR,62700,E01000799,Greater London
BR3 1SD,Yes,51.412377,46,-0.023902,BR3,BR,68600,E01000712,Greater London
BR3 1SY,Yes,51.420314,,-0.017303,BR3,BR,42900,E01003192,Greater London
BR3 1WL,Yes,51.396363,,-0.048151,BR3,BR,56000,E01032568,Greater London
BR3 3AL,Yes,51.391969,,-0.021056,BR3,BR,67000,E01000775,Greater London
BR3 3BG,Yes,51.385248,84,-0.021907,BR3,BR,65200,E01000837,Greater London
BR3 3BH,Yes,51.384852,201,-0.025057,BR3,BR,67000,E01000769,Greater London
BR3 3BZ,Yes,51.378711,3,-0.027304,BR3,BR,51300,E01001135,Greater London
BR3 3DA,Yes,51.392309,96,-0.033763,BR3,BR,67000,E01000777,Greater London
BR3 3DD,Yes,51.398484,41,-0.028193,BR3,BR,67000,E01000773,Greater London
BR3 3DY,Yes,51.391531,44,-0.03887,BR3,BR,67000,E01000778,Greater London
BR3 3FD,Yes,51.404873,,-0.032721,BR3,BR,56000,E01000771,Greater London
BR3 3FF,Yes,51.397148,12,-0.042425,BR3,BR,56000,E01000774,Greater London
BR3 4BD,Yes,51.402258,27,-0.038239,BR3,BR,56000,E01000708,Greater London
BR3 4BU,Yes,51.400015,7,-0.049364,BR3,BR,67600,E01000706,Greater London
BR3 4EH,Yes,51.401405,60,-0.052336,BR3,BR,60000,E01000704,Greater London
BR3 4EY,Yes,51.405072,123,-0.036537,BR3,BR,56000,E01000707,Greater London
BR3 4FD,Yes,51.409463,,-0.044835,BR3,BR,67600,E01000702,Greater London
BR3 4GY,Yes,51.405155,9,-0.055556,BR3,BR,60000,E01000701,Greater London
BR3 4JT,Yes,51.40511,57,-0.042085,BR3,BR,67600,E01000700,Greater London
BR3 4RA,Yes,51.408967,6,-0.051195,BR3,BR,60000,E01000801,Greater London
BR3 4TA,Yes,51.404994,94,-0.056698,BR3,BR,60000,E01000699,Greater London
BR3 5DS,Yes,51.41019,4,-0.01528,BR3,BR,68600,E01000715,Greater London
BR3 5JT,Yes,51.406554,50,-0.019909,BR3,BR,68600,E01000772,Greater London
BR3 6SR,Yes,51.391271,83,-0.001121,BR3,BR,66700,E01000833,Greater London
BR4 0AA,Yes,51.380973,17,-0.011615,BR4,BR,65200,E01000832,Greater London
BR4 0AB,Yes,51.380181,34,-0.009954,BR4,BR,65200,E01000836,Greater London
BR4 0AH,Yes,51.382044,86,0.001552,BR4,BR,69600,E01000834,Greater London
BR4 0AP,Yes,51.375286,,-0.012941,BR4,BR,65200,E01000841,Greater London
BR4 0AU,Yes,51.379552,97,-0.003141,BR4,BR,65200,E01000838,Greater London
BR4 0JF,Yes,51.376714,24,-0.018711,BR4,BR,65200,E01000835,Greater London
BR4 9AU,Yes,51.37097,65,0.001227,BR4,BR,65000,E01000760,Greater London
BR4 9BA,Yes,51.370982,91,-0.010525,BR4,BR,65200,E01000840,Greater London
BR4 9DP,Yes,51.36825,51,0.010404,BR4,BR,65000,E01000761,Greater London
BR4 9EW,Yes,51.375326,14,-0.019576,BR4,BR,65200,E01000839,Greater London
BR5 1AA,Yes,51.38637,72,0.06475,BR5,BR,65100,E01000809,Greater London
BR5 1AR,Yes,51.388493,84,0.071313,BR5,BR,70600,E01000811,Greater London
BR5 1DA,Yes,51.390788,73,0.067133,BR5,BR,65100,E01000807,Greater London
BR5 1DH,Yes,51.388057,,0.074139,BR5,BR,70600,E01000813,Greater London
BR5 1FA,Yes,51.374933,,0.077395,BR5,BR,71300,E01000755,Greater London
BR5 1GA,Yes,51.382743,61,0.085195,BR5,BR,70600,E01000808,Greater London
BR5 1GU,Yes,51.391071,44,0.093278,BR5,BR,51400,E01000732,Greater London
BR5 1HD,Yes,51.378743,59,0.079035,BR5,BR,71300,E01000754,Greater London
BR5 1HR,Yes,51.385428,58,0.082414,BR5,BR,70600,E01000810,Greater London
BR5 1JT,Yes,51.390774,50,0.088205,BR5,BR,70600,E01000815,Greater London
BR5 1NR,Yes,51.389513,65,0.090347,BR5,BR,60600,E01000734,Greater London
BR5 1RJ,Yes,51.391358,29,0.095792,BR5,BR,51400,E01000733,Greater London
BR5 1RS,Yes,51.373837,91,0.070163,BR5,BR,71300,E01000753,Greater London
BR5 2AJ,Yes,51.386316,70,0.103668,BR5,BR,51400,E01000722,Greater London
BR5 2AY,Yes,51.383926,88,0.106059,BR5,BR,60600,E01000727,Greater London
BR5 2BG,Yes,51.385065,86,0.105723,BR5,BR,51400,E01000725,Greater London
BR5 2DT,Yes,51.403879,9,0.104213,BR5,BR,45000,E01000739,Greater London
BR5 2EA,Yes,51.408289,22,0.10449,BR5,BR,45000,E01000735,Greater London
